date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/02,Argentina,16851,637,541,11
2020/06/02,Panama,13463,445,336,6
2020/06/02,Honduras,5202,108,212,11
2020/06/02,Guatemala,5087,348,108,6
2020/06/02,ElSalvador,2582,65,46,0
2020/06/02,Haiti,2124,259,44,3
2020/06/02,Cuba,2083,38,83,0
2020/06/02,DominicanRepublic,17572,287,502,0
2020/06/02,Bolivia(PlurinationalStateof),9982,390,313,3
2020/06/02,Venezuela(BolivarianRepublicof),1510,51,14,0
2020/06/02,TrinidadandTobago,117,0,8,0
2020/06/02,SaintVincentandtheGrenadines,26,0,0,0
2020/06/02,AntiguaandBarbuda,25,0,3,0
2020/06/02,CostaRica,1056,9,10,0
2020/06/02,Paraguay,995,9,11,0
2020/06/02,Nicaragua,885,0,35,0
2020/06/02,Uruguay,823,2,22,0
2020/06/02,Jamaica,581,0,9,0
2020/06/02,Guyana,153,1,12,0
2020/06/02,Bahamas,102,1,11,0
2020/06/02,Barbados,92,0,7,0
2020/06/02,Suriname,27,13,1,0
2020/06/02,Grenada,23,0,0,0
2020/06/02,Belize,18,0,2,0
2020/06/02,SaintLucia,18,0,0,0
2020/06/02,Dominica,16,0,0,0
2020/06/02,SaintKittsandNevis,15,0,0,0
2020/06/02,PuertoRico,3873,97,136,0
2020/06/02,FrenchGuiana,499,22,1,0
2020/06/02,Martinique,200,0,14,0
2020/06/02,Guadeloupe,162,0,14,0
2020/06/02,CaymanIslands,141,0,1,0
2020/06/02,Bermuda,140,0,9,0
2020/06/02,Aruba,101,0,3,0
2020/06/02,SintMaarten,78,0,15,0
2020/06/02,SaintMartin,41,0,3,0
2020/06/02,Curaçao,20,0,1,0
2020/06/02,UnitedStatesVirginIslands,70,1,6,0
2020/06/02,FalklandIslands(Malvinas),13,0,0,0
2020/06/02,TurksandCaicosIslands,12,0,1,0
2020/06/02,Montserrat,11,0,1,0
2020/06/02,BritishVirginIslands,8,0,1,0
2020/06/02,"Bonaire,SintEustatiusandSaba",7,0,0,0
2020/06/02,SaintBarthélemy,6,0,0,0
2020/06/02,Anguilla,3,0,0,0
2020/06/02,SaintPierreandMiquelon,1,0,0,0
2020/06/02,UnitedArabEmirates,35192,635,266,2
2020/06/02,SaudiArabia,87142,1881,525,22
2020/06/02,Pakistan,76398,3938,1621,78
2020/06/02,Qatar,58433,1523,40,2
2020/06/02,Kuwait,27762,719,220,8
2020/06/02,Egypt,26384,1399,1005,46
2020/06/02,Afghanistan,16492,742,270,5
2020/06/02,Oman,12223,786,50,1
2020/06/02,Iran(IslamicRepublicof),154445,2979,7878,81
2020/06/02,Bahrain,11871,473,19,0
2020/06/02,Morocco,7833,26,205,0
2020/06/02,Iraq,6868,429,215,10
2020/06/02,Sudan,5173,147,298,12
2020/06/02,Djibouti,3569,215,24,0
2020/06/02,Somalia,2023,47,79,1
2020/06/02,Lebanon,1233,13,27,0
2020/06/02,Tunisia,1084,7,48,0
2020/06/02,Jordan,746,7,9,0
2020/06/02,Yemen,358,31,85,4
2020/06/02,Libya,168,12,5,0
2020/06/02,SyrianArabRepublic,123,1,5,0
2020/06/02,RussianFederation,423741,8863,5037,182
2020/06/02,TheUnitedKingdom,276336,1570,39045,556
2020/06/02,Spain,240010,209,29858,813
2020/06/02,Italy,233197,178,33475,60
2020/06/02,Germany,182028,213,8522,11
2020/06/02,Turkey,164769,827,4563,23
2020/06/02,France,148775,251,28776,30
2020/06/02,Belgium,58517,136,9486,19
2020/06/02,Netherlands,46545,103,5962,6
2020/06/02,Belarus,43403,847,240,5
2020/06/02,Sweden,37814,272,4403,8
2020/06/02,Switzerland,30788,9,1656,0
2020/06/02,Ireland,25062,72,1650,0
2020/06/02,Ukraine,24340,328,727,9
2020/06/02,Poland,24165,379,1074,10
2020/06/02,Romania,19398,141,1279,17
2020/06/02,Israel,17071,0,285,0
2020/06/02,Austria,16663,21,668,0
2020/06/02,Denmark,11699,30,576,2
2020/06/02,Kazakhstan,11571,263,41,0
2020/06/02,Serbia,11430,18,244,1
2020/06/02,Armenia,10009,517,158,19
2020/06/02,Czechia,9302,29,321,1
2020/06/02,Norway,8411,0,236,0
2020/06/02,Finland,6885,26,320,0
2020/06/02,Azerbaijan,5662,168,68,5
2020/06/02,Luxembourg,4019,1,110,0
2020/06/02,Tajikistan,4013,83,47,0
2020/06/02,Hungary,3921,45,532,6
2020/06/02,Uzbekistan,3718,56,15,0
2020/06/02,Greece,2917,0,175,0
2020/06/02,RepublicofMoldova,8360,109,307,12
2020/06/02,BosniaandHerzegovina,2523,14,153,1
2020/06/02,Bulgaria,2513,0,144,4
2020/06/02,NorthMacedonia,2315,89,140,7
2020/06/02,Croatia,2246,0,103,0
2020/06/02,Estonia,1870,1,68,0
2020/06/02,Kyrgyzstan,1845,28,17,1
2020/06/02,Iceland,1806,0,10,0
2020/06/02,Lithuania,1678,3,70,0
2020/06/02,Slovakia,1522,0,28,0
2020/06/02,Slovenia,1483,10,108,0
2020/06/02,Albania,1164,21,33,0
2020/06/02,Latvia,1071,5,24,0
2020/06/02,Cyprus,949,5,17,0
2020/06/02,Georgia,796,2,12,0
2020/06/02,Andorra,765,1,51,0
2020/06/02,SanMarino,687,0,42,0
2020/06/02,Malta,619,3,9,2
2020/06/02,Montenegro,324,0,9,0
2020/06/02,Monaco,98,0,1,0
2020/06/02,Liechtenstein,83,0,1,0
2020/06/02,HolySee,12,0,0,0
2020/06/02,Kosovo,1067,3,30,0
2020/06/02,IsleofMan,336,0,24,0
2020/06/02,Jersey,308,0,29,0
2020/06/02,Guernsey,252,0,13,0
2020/06/02,FaroeIslands,187,0,0,0
2020/06/02,Gibraltar,170,1,0,0
2020/06/02,Greenland,13,0,0,0
2020/06/02,India,198706,8171,5598,204
2020/06/02,Bangladesh,49534,2381,672,22
2020/06/02,Indonesia,26940,467,1641,28
2020/06/02,Thailand,3083,1,58,1
2020/06/02,Maldives,1829,56,6,1
2020/06/02,Nepal,1811,239,8,0
2020/06/02,SriLanka,1643,10,11,1
2020/06/02,Myanmar,228,4,6,0
2020/06/02,Bhutan,47,4,0,0
2020/06/02,Timor-Leste,24,0,0,0
2020/06/02,China,84597,9,4645,0
2020/06/02,Singapore,35292,408,24,1
2020/06/02,Philippines,18638,552,960,3
2020/06/02,Japan,16930,46,894,2
2020/06/02,RepublicofKorea,11541,38,272,1
2020/06/02,Malaysia,7857,38,115,0
